sale_id,product_id,customer_id,sales_date,discount,final_price
1,15,1,2024-09-21,0.2,239.2
2,14,70,2024-06-05,0.05,94.05
3,15,90,2024-12-21,0.1,269.1
4,3,66,2024-07-05,0.05,474.05
5,13,105,2024-07-05,0.05,521.55
6,3,109,2024-11-18,0.05,474.05
7,7,52,2024-06-17,0.0,449.0
8,2,90,2024-12-27,0.05,189.05
9,4,73,2024-11-10,0.05,664.05
10,11,112,2024-06-30,0.0,649.0
11,12,42,2024-08-13,0.15,143.65
12,10,6,2024-03-12,0.1,170.1
13,7,102,2024-04-26,0.2,359.2
14,2,31,2024-11-21,0.15,169.15
15,1,38,2024-09-03,0.0,149.0
16,2,49,2024-08-06,0.3,139.3
17,15,41,2024-12-23,0.15,254.15
18,10,103,2024-06-12,0.1,170.1
19,1,78,2024-05-22,0.0,149.0
20,15,55,2024-08-09,0.05,284.05
21,1,7,2024-01-13,0.05,141.55
22,10,35,2024-04-06,0.15,160.65
23,4,16,2024-09-21,0.1,629.1
24,15,19,2024-01-21,0.05,284.05
25,14,21,2024-01-13,0.05,94.05
26,5,38,2024-09-14,0.1,116.1
27,1,48,2024-07-10,0.0,149.0
28,1,59,2024-10-20,0.1,134.1
29,5,84,2024-11-15,0.0,129.0
30,2,92,2024-11-19,0.05,189.05
31,8,92,2024-11-14,0.1,143.1
32,4,92,2024-12-25,0.05,664.05
33,3,3,2024-12-15,0.0,499.0
34,5,113,2024-04-07,0.05,122.55
35,8,34,2024-04-19,0.1,143.1
36,3,70,2024-07-04,0.0,499.0
37,5,86,2024-12-04,0.05,122.55
38,9,8,2024-04-04,0.05,569.05
39,14,116,2024-10-25,0.0,99.0
40,1,4,2024-02-15,0.1,134.1
41,8,4,2024-10-13,0.15,135.15
42,10,88,2024-04-17,0.05,179.55
43,4,79,2024-02-12,0.1,629.1
44,13,113,2024-06-25,0.0,549.0
45,13,120,2024-11-30,0.0,549.0
46,5,39,2024-07-07,0.0,129.0
47,7,108,2024-08-10,0.2,359.2
48,2,62,2024-01-31,0.05,189.05
49,6,60,2024-03-10,0.1,161.1
50,7,19,2024-02-29,0.15,381.65
51,15,91,2024-12-28,0.0,299.0
52,12,79,2024-10-28,0.05,160.55
53,3,53,2024-02-06,0.1,449.1
54,2,102,2024-03-09,0.0,199.0
55,13,10,2024-01-25,0.0,549.0
56,9,63,2024-08-13,0.0,599.0
57,4,115,2024-08-19,0.0,699.0
58,11,92,2024-03-04,0.1,584.1
59,6,19,2024-10-10,0.05,170.05
60,1,3,2024-11-27,0.05,141.55
61,12,39,2024-10-31,0.15,143.65
62,3,31,2024-07-05,0.1,449.1
63,11,46,2024-04-28,0.0,649.0
64,11,53,2024-08-30,0.2,519.2
65,7,2,2024-11-22,0.1,404.1
66,14,84,2024-10-27,0.0,99.0
67,3,115,2024-05-16,0.0,499.0
68,5,54,2024-11-25,0.0,129.0
69,12,100,2024-09-01,0.15,143.65
70,12,6,2024-05-01,0.3,118.3
71,14,26,2024-02-05,0.15,84.15
72,13,66,2024-06-28,0.0,549.0
73,15,79,2024-09-26,0.1,269.1
74,5,1,2024-10-08,0.05,122.55
75,7,31,2024-07-26,0.05,426.55
76,14,45,2024-04-29,0.05,94.05
77,4,60,2024-09-29,0.05,664.05
78,11,67,2024-08-16,0.0,649.0
79,1,65,2024-03-31,0.1,134.1
80,7,97,2024-08-23,0.05,426.55
81,15,95,2024-12-14,0.1,269.1
82,5,43,2024-05-11,0.1,116.1
83,8,16,2024-11-07,0.05,151.05
84,12,113,2024-07-03,0.1,152.1
85,7,80,2024-02-17,0.0,449.0
86,8,85,2024-12-31,0.0,159.0
87,2,44,2024-10-31,0.2,159.2
88,12,33,2024-02-07,0.0,169.0
89,11,94,2024-04-15,0.0,649.0
90,6,20,2024-01-08,0.0,179.0
91,8,116,2024-02-22,0.0,159.0
92,10,3,2024-06-01,0.15,160.65
93,3,18,2024-12-27,0.0,499.0
94,5,9,2024-02-19,0.05,122.55
95,9,60,2024-09-17,0.05,569.05
96,2,36,2024-02-23,0.0,199.0
97,13,109,2024-09-07,0.05,521.55
98,3,30,2024-01-17,0.15,424.15
99,2,24,2024-02-19,0.05,189.05
100,2,36,2024-11-09,0.0,199.0
101,4,120,2024-03-22,0.0,699.0
102,13,102,2024-10-09,0.05,521.55
103,6,46,2024-01-21,0.05,170.05
104,10,86,2024-12-30,0.05,179.55
105,1,43,2024-03-30,0.05,141.55
106,9,105,2024-01-28,0.1,539.1
107,12,15,2024-09-01,0.1,152.1
108,2,28,2024-06-12,0.05,189.05
109,7,117,2024-02-28,0.2,359.2
110,4,100,2024-09-03,0.15,594.15
111,4,111,2024-11-11,0.05,664.05
112,12,57,2024-04-07,0.1,152.1
113,6,101,2024-08-28,0.05,170.05
114,10,7,2024-03-01,0.05,179.55
115,8,58,2024-10-18,0.0,159.0
116,10,8,2024-12-27,0.05,179.55
117,3,67,2024-06-26,0.1,449.1
118,4,15,2024-12-04,0.05,664.05
119,12,113,2024-01-03,0.0,169.0
120,4,107,2024-03-03,0.0,699.0
121,4,93,2024-08-02,0.05,664.05
122,9,86,2024-10-19,0.1,539.1
123,15,49,2024-02-20,0.1,269.1
124,7,24,2024-10-12,0.0,449.0
125,10,61,2024-04-26,0.15,160.65
126,8,67,2024-08-30,0.0,159.0
127,15,45,2024-03-27,0.05,284.05
128,7,62,2024-01-26,0.1,404.1
129,4,72,2024-12-11,0.0,699.0
130,10,61,2024-11-03,0.0,189.0
131,7,33,2024-04-16,0.1,404.1
132,13,94,2024-12-17,0.05,521.55
133,7,114,2024-04-22,0.15,381.65
134,12,27,2024-06-27,0.15,143.65
135,7,119,2024-06-25,0.15,381.65
136,2,44,2024-05-26,0.3,139.3
137,14,37,2024-08-22,0.05,94.05
138,15,90,2024-03-16,0.0,299.0
139,11,5,2024-11-17,0.05,616.55
140,4,57,2024-06-29,0.0,699.0
141,5,92,2024-08-07,0.0,129.0
142,4,10,2024-03-30,0.05,664.05
143,2,21,2024-03-13,0.1,179.1
144,14,46,2024-06-23,0.05,94.05
145,1,41,2024-09-24,0.1,134.1
146,6,96,2024-12-30,0.05,170.05
147,9,17,2024-09-09,0.05,569.05
148,14,76,2024-04-02,0.05,94.05
149,7,65,2024-09-02,0.1,404.1
150,15,34,2024-11-07,0.05,284.05
151,12,73,2024-03-20,0.0,169.0
152,9,102,2024-08-26,0.0,599.0
153,10,87,2024-06-09,0.1,170.1
154,14,1,2024-07-25,0.05,94.05
155,2,88,2024-03-21,0.0,199.0
156,1,35,2024-06-23,0.05,141.55
157,4,8,2024-06-17,0.05,664.05
158,14,109,2024-09-15,0.15,84.15
159,2,44,2024-08-05,0.05,189.05
160,4,4,2024-03-22,0.1,629.1
161,5,38,2024-07-30,0.05,122.55
162,15,82,2024-08-10,0.05,284.05
163,8,39,2024-04-29,0.05,151.05
164,14,61,2024-09-10,0.0,99.0
165,7,52,2024-11-25,0.15,381.65
166,13,60,2024-07-02,0.05,521.55
167,2,22,2024-01-29,0.2,159.2
168,5,85,2024-11-27,0.1,116.1
169,15,48,2024-11-01,0.1,269.1
170,13,118,2024-06-24,0.05,521.55
171,4,58,2024-04-06,0.2,559.2
172,13,74,2024-11-25,0.05,521.55
173,4,120,2024-09-28,0.1,629.1
174,8,120,2024-03-13,0.0,159.0
175,7,29,2024-04-09,0.0,449.0
176,9,17,2024-07-28,0.05,569.05
177,7,11,2024-07-13,0.05,426.55
178,14,16,2024-05-04,0.05,94.05
179,13,39,2024-08-21,0.0,549.0
180,13,113,2024-03-26,0.05,521.55
181,5,12,2024-06-13,0.0,129.0
182,5,111,2024-09-21,0.0,129.0
183,8,15,2024-01-28,0.05,151.05
184,1,52,2024-10-30,0.0,149.0
185,1,80,2024-12-28,0.1,134.1
186,10,30,2024-02-09,0.2,151.2
187,9,74,2024-07-20,0.1,539.1
188,9,119,2024-04-06,0.05,569.05
189,5,1,2024-08-26,0.0,129.0
190,11,48,2024-02-18,0.15,551.65
191,11,105,2024-06-08,0.1,584.1
192,14,65,2024-01-15,0.0,99.0
193,14,108,2024-11-21,0.15,84.15
194,9,34,2024-04-01,0.0,599.0
195,15,82,2024-07-16,0.0,299.0
196,7,111,2024-09-18,0.05,426.55
197,2,45,2024-04-06,0.1,179.1
198,15,28,2024-02-14,0.0,299.0
199,7,86,2024-01-10,0.0,449.0
200,9,41,2024-07-12,0.0,599.0
201,8,66,2024-11-05,0.1,143.1
202,11,68,2024-04-16,0.05,616.55
203,13,20,2024-09-03,0.1,494.1
204,13,110,2024-12-12,0.0,549.0
205,10,83,2024-01-03,0.05,179.55
206,11,33,2024-07-19,0.05,616.55
207,12,62,2024-04-21,0.1,152.1
208,2,94,2024-02-03,0.2,159.2
209,8,47,2024-11-14,0.05,151.05
210,14,65,2024-02-16,0.2,79.2
211,13,10,2024-02-01,0.15,466.65
212,12,11,2024-11-28,0.05,160.55
213,2,89,2024-08-02,0.05,189.05
214,8,82,2024-08-25,0.05,151.05
215,10,27,2024-12-23,0.0,189.0
216,15,107,2024-11-07,0.05,284.05
217,9,18,2024-02-18,0.05,569.05
218,8,10,2024-02-29,0.0,159.0
219,2,104,2024-06-12,0.3,139.3
220,4,82,2024-07-08,0.0,699.0
221,2,32,2024-09-25,0.1,179.1
222,9,66,2024-12-23,0.0,599.0
223,15,98,2024-02-16,0.05,284.05
224,8,68,2024-03-03,0.15,135.15
225,6,21,2024-07-10,0.05,170.05
226,2,4,2024-03-15,0.0,199.0
227,3,15,2024-05-24,0.05,474.05
228,6,95,2024-12-07,0.1,161.1
229,3,90,2024-04-19,0.2,399.2
230,3,66,2024-01-28,0.05,474.05
231,15,46,2024-05-05,0.0,299.0
232,14,85,2024-05-23,0.15,84.15
233,10,112,2024-08-30,0.0,189.0
234,4,53,2024-07-25,0.3,489.3
235,3,30,2024-02-22,0.0,499.0
236,12,7,2024-04-30,0.1,152.1
237,15,36,2024-11-27,0.0,299.0
238,7,102,2024-04-09,0.0,449.0
239,8,100,2024-08-18,0.0,159.0
240,10,100,2024-11-10,0.05,179.55
241,2,107,2024-09-09,0.1,179.1
242,15,110,2024-04-16,0.0,299.0
243,4,50,2024-11-09,0.15,594.15
244,12,46,2024-09-06,0.15,143.65
245,11,57,2024-12-27,0.05,616.55
246,13,14,2024-10-22,0.05,521.55
247,9,63,2024-07-01,0.0,599.0
248,12,85,2024-04-10,0.05,160.55
249,11,98,2024-12-24,0.2,519.2
250,4,116,2024-09-10,0.1,629.1
251,14,107,2024-08-08,0.15,84.15
252,11,109,2024-08-12,0.1,584.1
253,11,19,2024-12-17,0.05,616.55
254,12,4,2024-06-13,0.05,160.55
255,8,2,2024-06-02,0.05,151.05
256,10,79,2024-03-10,0.05,179.55
257,12,30,2024-12-12,0.2,135.2
258,10,71,2024-10-25,0.0,189.0
259,15,19,2024-11-20,0.2,239.2
260,12,67,2024-09-09,0.0,169.0
261,4,92,2024-12-22,0.0,699.0
262,4,43,2024-02-18,0.05,664.05
263,15,27,2024-01-15,0.05,284.05
264,6,57,2024-06-28,0.15,152.15
265,12,48,2024-10-15,0.0,169.0
266,7,95,2024-04-21,0.05,426.55
267,1,111,2024-04-27,0.0,149.0
268,9,95,2024-09-17,0.1,539.1
269,8,22,2024-07-16,0.0,159.0
270,8,7,2024-11-29,0.05,151.05
271,5,29,2024-03-10,0.1,116.1
272,5,21,2024-11-30,0.0,129.0
273,6,41,2024-02-27,0.05,170.05
274,1,55,2024-03-06,0.1,134.1
275,9,10,2024-12-18,0.0,599.0
276,13,101,2024-07-23,0.0,549.0
277,10,62,2024-07-24,0.1,170.1
278,3,72,2024-01-01,0.1,449.1
279,6,58,2024-03-09,0.0,179.0
280,2,95,2024-12-13,0.1,179.1
281,6,116,2024-11-20,0.15,152.15
282,13,50,2024-08-09,0.05,521.55
283,10,103,2024-05-03,0.15,160.65
284,12,70,2024-08-07,0.15,143.65
285,13,111,2024-08-17,0.1,494.1
286,3,56,2024-03-27,0.1,449.1
287,11,115,2024-07-18,0.0,649.0
288,5,52,2024-06-07,0.0,129.0
289,4,47,2024-11-21,0.1,629.1
290,1,25,2024-01-26,0.1,134.1
291,4,2,2024-07-02,0.05,664.05
292,8,48,2024-08-04,0.15,135.15
293,12,50,2024-05-27,0.2,135.2
294,8,70,2024-07-13,0.0,159.0
295,3,66,2024-10-20,0.15,424.15
296,6,73,2024-04-02,0.1,161.1
297,2,63,2024-11-30,0.05,189.05
298,8,13,2024-08-02,0.05,151.05
299,6,6,2024-04-22,0.0,179.0
300,10,106,2024-07-11,0.05,179.55
301,2,93,2024-03-13,0.05,189.05
302,11,70,2024-12-29,0.05,616.55
303,3,37,2024-11-28,0.1,449.1
304,14,58,2024-02-03,0.1,89.1
305,11,80,2024-04-28,0.1,584.1
306,9,68,2024-10-22,0.0,599.0
307,6,113,2024-05-18,0.05,170.05
308,1,73,2024-09-16,0.0,149.0
309,10,19,2024-12-04,0.05,179.55
310,4,13,2024-12-26,0.05,664.05
311,4,69,2024-01-23,0.2,559.2
312,4,17,2024-12-29,0.15,594.15
313,2,49,2024-01-26,0.05,189.05
314,8,67,2024-04-17,0.15,135.15
315,7,8,2024-06-19,0.0,449.0
316,4,37,2024-07-29,0.05,664.05
317,2,52,2024-11-24,0.0,199.0
318,8,1,2024-02-14,0.1,143.1
319,3,48,2024-05-04,0.0,499.0
320,13,40,2024-02-09,0.05,521.55
321,7,66,2024-12-22,0.05,426.55
322,6,1,2024-04-16,0.3,125.3
323,10,60,2024-09-09,0.1,170.1
324,9,21,2024-10-02,0.05,569.05
325,10,21,2024-12-24,0.15,160.65
326,5,88,2024-06-26,0.1,116.1
327,11,63,2024-12-09,0.15,551.65
328,8,119,2024-04-28,0.0,159.0
329,9,21,2024-03-11,0.2,479.2
330,6,41,2024-04-23,0.05,170.05
331,10,78,2024-02-24,0.0,189.0
332,3,79,2024-03-21,0.1,449.1
333,5,77,2024-11-07,0.0,129.0
334,13,83,2024-09-11,0.15,466.65
335,13,98,2024-03-18,0.05,521.55
336,4,101,2024-04-19,0.05,664.05
337,4,54,2024-01-25,0.15,594.15
338,2,91,2024-03-27,0.05,189.05
339,8,39,2024-04-23,0.0,159.0
340,13,112,2024-11-21,0.0,549.0
341,14,83,2024-07-04,0.05,94.05
342,9,71,2024-08-18,0.05,569.05
343,6,19,2024-12-22,0.05,170.05
344,8,78,2024-01-16,0.05,151.05
345,8,117,2024-07-13,0.0,159.0
346,15,77,2024-12-28,0.05,284.05
347,15,13,2024-10-04,0.05,284.05
348,8,66,2024-11-01,0.05,151.05
349,15,99,2024-10-10,0.1,269.1
350,13,83,2024-06-16,0.05,521.55
