sale_id,product_id,customer_id,sales_date,discount,final_price,sales_rating
1,15,1,2024-09-21,0.2,239.2,4.5
2,14,70,2024-06-05,0.05,94.05,5.0
3,15,90,2024-12-21,0.1,269.1,4.2
4,3,66,2024-07-05,0.05,474.05,4.8
5,13,105,2024-07-05,0.05,521.55,3.7
6,3,109,2024-11-18,0.05,474.05,4.5
7,7,52,2024-06-17,0.0,449.0,4.1
8,2,90,2024-12-27,0.05,189.05,3.7
9,4,73,2024-11-10,0.05,664.05,4.5
10,11,112,2024-06-30,0.0,649.0,4.7
11,12,42,2024-08-13,0.15,143.65,4.2
12,10,6,2024-03-12,0.1,170.1,4.7
13,7,102,2024-04-26,0.2,359.2,5.0
14,2,31,2024-11-21,0.15,169.15,4.8
15,1,38,2024-09-03,0.0,149.0,4.0
16,2,49,2024-08-06,0.3,139.3,4.7
17,15,41,2024-12-23,0.15,254.15,4.2
18,10,103,2024-06-12,0.1,170.1,4.4
19,1,78,2024-05-22,0.0,149.0,3.6
20,15,55,2024-08-09,0.05,284.05,4.5
21,1,7,2024-01-13,0.05,141.55,4.9
22,10,35,2024-04-06,0.15,160.65,3.4
23,4,16,2024-09-21,0.1,629.1,4.2
24,15,19,2024-01-21,0.05,284.05,4.5
25,14,21,2024-01-13,0.05,94.05,3.2
26,5,38,2024-09-14,0.1,116.1,3.9
27,1,48,2024-07-10,0.0,149.0,3.8
28,1,59,2024-10-20,0.1,134.1,4.2
29,5,84,2024-11-15,0.0,129.0,3.9
30,2,92,2024-11-19,0.05,189.05,4.3
31,8,92,2024-11-14,0.1,143.1,4.4
32,4,92,2024-12-25,0.05,664.05,5.0
33,3,3,2024-12-15,0.0,499.0,4.5
34,5,113,2024-04-07,0.05,122.55,3.3
35,8,34,2024-04-19,0.1,143.1,3.9
36,3,70,2024-07-04,0.0,499.0,4.5
37,5,86,2024-12-04,0.05,122.55,4.4
38,9,8,2024-04-04,0.05,569.05,4.8
39,14,116,2024-10-25,0.0,99.0,3.5
40,1,4,2024-02-15,0.1,134.1,4.5
41,8,4,2024-10-13,0.15,135.15,4.1
42,10,88,2024-04-17,0.05,179.55,4.4
43,4,79,2024-02-12,0.1,629.1,3.6
44,13,113,2024-06-25,0.0,549.0,3.6
45,13,120,2024-11-30,0.0,549.0,4.6
46,5,39,2024-07-07,0.0,129.0,4.7
47,7,108,2024-08-10,0.2,359.2,3.5
48,2,62,2024-01-31,0.05,189.05,4.0
49,6,60,2024-03-10,0.1,161.1,3.8
50,7,19,2024-02-29,0.15,381.65,3.9
51,15,91,2024-12-28,0.0,299.0,3.2
52,12,79,2024-10-28,0.05,160.55,3.6
53,3,53,2024-02-06,0.1,449.1,3.0
54,2,102,2024-03-09,0.0,199.0,4.0
55,13,10,2024-01-25,0.0,549.0,4.9
56,9,63,2024-08-13,0.0,599.0,4.3
57,4,115,2024-08-19,0.0,699.0,4.3
58,11,92,2024-03-04,0.1,584.1,5.0
59,6,19,2024-10-10,0.05,170.05,5.0
60,1,3,2024-11-27,0.05,141.55,4.0
61,12,39,2024-10-31,0.15,143.65,4.8
62,3,31,2024-07-05,0.1,449.1,3.5
63,11,46,2024-04-28,0.0,649.0,3.6
64,11,53,2024-08-30,0.2,519.2,3.6
65,7,2,2024-11-22,0.1,404.1,4.8
66,14,84,2024-10-27,0.0,99.0,3.9
67,3,115,2024-05-16,0.0,499.0,4.8
68,5,54,2024-11-25,0.0,129.0,4.0
69,12,100,2024-09-01,0.15,143.65,3.7
70,12,6,2024-05-01,0.3,118.3,4.0
71,14,26,2024-02-05,0.15,84.15,3.3
72,13,66,2024-06-28,0.0,549.0,4.3
73,15,79,2024-09-26,0.1,269.1,4.5
74,5,1,2024-10-08,0.05,122.55,3.9
75,7,31,2024-07-26,0.05,426.55,4.2
76,14,45,2024-04-29,0.05,94.05,4.3
77,4,60,2024-09-29,0.05,664.05,4.4
78,11,67,2024-08-16,0.0,649.0,4.0
79,1,65,2024-03-31,0.1,134.1,4.7
80,7,97,2024-08-23,0.05,426.55,5.0
81,15,95,2024-12-14,0.1,269.1,4.0
82,5,43,2024-05-11,0.1,116.1,5.0
83,8,16,2024-11-07,0.05,151.05,4.6
84,12,113,2024-07-03,0.1,152.1,4.9
85,7,80,2024-02-17,0.0,449.0,4.7
86,8,85,2024-12-31,0.0,159.0,5.0
87,2,44,2024-10-31,0.2,159.2,4.1
88,12,33,2024-02-07,0.0,169.0,3.7
89,11,94,2024-04-15,0.0,649.0,3.8
90,6,20,2024-01-08,0.0,179.0,3.7
91,8,116,2024-02-22,0.0,159.0,4.4
92,10,3,2024-06-01,0.15,160.65,3.6
93,3,18,2024-12-27,0.0,499.0,3.9
94,5,9,2024-02-19,0.05,122.55,4.7
95,9,60,2024-09-17,0.05,569.05,4.0
96,2,36,2024-02-23,0.0,199.0,5.0
97,13,109,2024-09-07,0.05,521.55,3.1
98,3,30,2024-01-17,0.15,424.15,3.9
99,2,24,2024-02-19,0.05,189.05,4.5
100,2,36,2024-11-09,0.0,199.0,3.7
101,4,120,2024-03-22,0.0,699.0,4.5
102,13,102,2024-10-09,0.05,521.55,4.5
103,6,46,2024-01-21,0.05,170.05,3.7
104,10,86,2024-12-30,0.05,179.55,3.9
105,1,43,2024-03-30,0.05,141.55,5.0
106,9,105,2024-01-28,0.1,539.1,4.8
107,12,15,2024-09-01,0.1,152.1,4.6
108,2,28,2024-06-12,0.05,189.05,4.3
109,7,117,2024-02-28,0.2,359.2,5.0
110,4,100,2024-09-03,0.15,594.15,4.4
111,4,111,2024-11-11,0.05,664.05,4.3
112,12,57,2024-04-07,0.1,152.1,4.5
113,6,101,2024-08-28,0.05,170.05,4.8
114,10,7,2024-03-01,0.05,179.55,3.7
115,8,58,2024-10-18,0.0,159.0,4.4
116,10,8,2024-12-27,0.05,179.55,4.3
117,3,67,2024-06-26,0.1,449.1,3.2
118,4,15,2024-12-04,0.05,664.05,4.2
119,12,113,2024-01-03,0.0,169.0,4.2
120,4,107,2024-03-03,0.0,699.0,5.0
121,4,93,2024-08-02,0.05,664.05,3.6
122,9,86,2024-10-19,0.1,539.1,3.4
123,15,49,2024-02-20,0.1,269.1,4.2
124,7,24,2024-10-12,0.0,449.0,4.8
125,10,61,2024-04-26,0.15,160.65,4.0
126,8,67,2024-08-30,0.0,159.0,3.7
127,15,45,2024-03-27,0.05,284.05,4.7
128,7,62,2024-01-26,0.1,404.1,3.7
129,4,72,2024-12-11,0.0,699.0,3.7
130,10,61,2024-11-03,0.0,189.0,5.0
131,7,33,2024-04-16,0.1,404.1,3.5
132,13,94,2024-12-17,0.05,521.55,4.7
133,7,114,2024-04-22,0.15,381.65,4.6
134,12,27,2024-06-27,0.15,143.65,4.4
135,7,119,2024-06-25,0.15,381.65,5.0
136,2,44,2024-05-26,0.3,139.3,4.5
137,14,37,2024-08-22,0.05,94.05,4.9
138,15,90,2024-03-16,0.0,299.0,4.2
139,11,5,2024-11-17,0.05,616.55,4.1
140,4,57,2024-06-29,0.0,699.0,4.1
141,5,92,2024-08-07,0.0,129.0,4.9
142,4,10,2024-03-30,0.05,664.05,4.8
143,2,21,2024-03-13,0.1,179.1,3.5
144,14,46,2024-06-23,0.05,94.05,3.5
145,1,41,2024-09-24,0.1,134.1,4.3
146,6,96,2024-12-30,0.05,170.05,4.5
147,9,17,2024-09-09,0.05,569.05,4.1
148,14,76,2024-04-02,0.05,94.05,4.9
149,7,65,2024-09-02,0.1,404.1,3.5
150,15,34,2024-11-07,0.05,284.05,4.3
151,12,73,2024-03-20,0.0,169.0,4.1
152,9,102,2024-08-26,0.0,599.0,3.6
153,10,87,2024-06-09,0.1,170.1,4.1
154,14,1,2024-07-25,0.05,94.05,4.2
155,2,88,2024-03-21,0.0,199.0,4.0
156,1,35,2024-06-23,0.05,141.55,3.5
157,4,8,2024-06-17,0.05,664.05,4.4
158,14,109,2024-09-15,0.15,84.15,4.6
159,2,44,2024-08-05,0.05,189.05,3.8
160,4,4,2024-03-22,0.1,629.1,5.0
161,5,38,2024-07-30,0.05,122.55,4.4
